name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
"""Amabie-San"" Present Campaign",Japanese,,,,,"Set Card Lists:""Amabie-San"" Present Campaign (OCG-JP)",,
"""Blue-Eyes White Dragon"" 20th Anniversary Gold Edition",Japanese,,,Promotional card,2019-02-04,"Set Card Lists:""Blue-Eyes White Dragon"" 20th Anniversary Gold Edition (OCG-JP)","Set Card Galleries:""Blue-Eyes White Dragon"" 20th Anniversary Gold Edition (OCG-JP)",https://ms.yugipedia.com//d/d5/20thAnniversaryGoldEdition-PromoJP.png
"""Blue-Eyes White Dragon"" 20th Anniversary Silver Edition",Japanese,,,Promotional card,2018-06-01,"Set Card Lists:""Blue-Eyes White Dragon"" 20th Anniversary Silver Edition (OCG-JP)","Set Card Galleries:""Blue-Eyes White Dragon"" 20th Anniversary Silver Edition (OCG-JP)",https://ms.yugipedia.com//1/11/20thAnniversarySilverEdition-PromoJP.png
"""Dark Magician Girl"" Special Card",Japanese,,,Promotional card,2020-05-22,"Set Card Lists:""Dark Magician Girl"" Special Card (OCG-JP)","Set Card Galleries:""Dark Magician Girl"" Special Card (OCG-JP)",https://ms.yugipedia.com//c/c2/DarkMagicianGirlSpecialCard-PromoJP.png
"""Dark Magician Ultra Rare Special Illustration Version"" GET Campaign",Japanese,25TH-JP,25TH,Promotional card,2022-01-25,"Set Card Lists:""Dark Magician Ultra Rare Special Illustration Version"" GET Campaign (OCG-JP)",,https://ms.yugipedia.com//7/7e/DarkMagician-25TH-JP-OP.png
"""Dark Magician"" Giveaway for 1000 People!",Japanese,,,,2000-02-07,"Set Card Lists:""Dark Magician"" Giveaway for 1000 People! (OCG-JP)","Set Card Galleries:""Dark Magician"" Giveaway for 1000 People! (OCG-JP)",https://ms.yugipedia.com//5/51/Chinese_Weekly_Sh%C5%8Dnen_Jump_Lottery_-_Dark_Magician.png
"""Dark Magician"" Special Card",Japanese,,,Promotional card,2023-03-01,"Set Card Lists:""Dark Magician"" Special Card (OCG-JP)","Set Card Galleries:""Dark Magician"" Special Card (OCG-JP)",https://ms.yugipedia.com//2/20/DarkMagicianSpecialCard-PromoJP.png
"""Duelist Kingdom: Collect Star Chips!"" Limited Pack",Japanese,,,,,"Set Card Lists:""Duelist Kingdom: Collect Star Chips!"" Limited Pack (OCG-JP)","Set Card Galleries:""Duelist Kingdom: Collect Star Chips!"" Limited Pack (OCG-JP)",
"""T.G./Shiranui"" Deck Experience Event promotional cards",Japanese,PREV-JP,PREV,Promotional card,2018-10-04,"Set Card Lists:""T.G./Shiranui"" Deck Experience Event promotional cards (OCG-JP)","Set Card Galleries:""T.G./Shiranui"" Deck Experience Event promotional cards (OCG-JP)",https://ms.yugipedia.com//a/ad/PREV-PromoJP-TGShiranuiDeckExperienceEvent.png
20th Anniversary Duel Set (Obelisk the Tormentor),Japanese,20DS-JP,20DS,Promotional card,2018-10-31,Set Card Lists:20th Anniversary Duel Set (Obelisk the Tormentor) (OCG-JP),Set Card Galleries:20th Anniversary Duel Set (Obelisk the Tormentor) (OCG-JP),https://ms.yugipedia.com//2/24/20thAnniversaryDuelSet-PromoJP.png
20th Anniversary Duel Set (Slifer the Sky Dragon),Japanese,20DS-JP,20DS,Promotional card,2019-09-26,Set Card Lists:20th Anniversary Duel Set (Slifer the Sky Dragon) (OCG-JP),,https://ms.yugipedia.com//4/48/20DS-PromoJP-SlifertheSkyDragon.png
20th Anniversary Duelist Box,Japanese,20TH-JPB,20TH,Preconstructed Deck,2018-12-22,Set Card Lists:20th Anniversary Duelist Box (OCG-JP),Set Card Galleries:20th Anniversary Duelist Box (OCG-JP),https://ms.yugipedia.com//d/d6/20THB-PromoJP.png
20th Anniversary Legend Collection,Japanese,20TH-JPC,20TH,Booster pack,2019-02-09,Set Card Lists:20th Anniversary Legend Collection (OCG-JP),Set Card Galleries:20th Anniversary Legend Collection (OCG-JP),https://ms.yugipedia.com//7/7e/20THC-BoosterJP.png
20th Anniversary Legend Selection,Japanese,WP01-JP,WP01,Booster pack,2020-03-28,Set Card Lists:20th Anniversary Legend Selection (OCG-JP),Set Card Galleries:20th Anniversary Legend Selection (OCG-JP),https://ms.yugipedia.com//6/68/WP01-BoosterJP.png
20th Anniversary Legendary Dragons,Japanese,VP18-JP,VP18,Booster pack,2018-05-21,Set Card Lists:20th Anniversary Legendary Dragons (OCG-JP),Set Card Galleries:20th Anniversary Legendary Dragons (OCG-JP),https://ms.yugipedia.com//3/3c/VP18-BoosterJP.png
